name,type,value
ABELARDO VICO RUIZ,rentas,26489.16
ABELARDO VICO RUIZ,rentas,1897.54
ADELINA ESCANDELL GRASES,rentas,32913.21
ADELINA ESCANDELL GRASES,rentas,4.27
ALBERTO CATALÁN HIGUERAS,rentas,47254.98
ALBERTO CATALÁN HIGUERAS,rentas,356.04
ALBERTO CATALÁN HIGUERAS,rentas,12107.96
ALBERTO FABRA PART,rentas,0.00
ALBERTO FABRA PART,rentas,0.00
ALBERTO FABRA PART,rentas,0.00
ALBERTO FABRA PART,rentas,0.00
ALEJANDRO JOSÉ ZUBELDIA SANTOYO,rentas,61692.94
ALFONSO CARLOS MOSCOSO GONZÁLEZ,rentas,36000.00
ALFONSO CARLOS MOSCOSO GONZÁLEZ,rentas,1440.00
ALFONSO ESCUDERO ORTEGA,rentas,19791.19
ALFONSO ESCUDERO ORTEGA,rentas,498.70
ALFONSO ESCUDERO ORTEGA,rentas,3000.00
ALFONSO MUÑOZ CUENCA,rentas,2661.00
ALFONSO MUÑOZ CUENCA,rentas,28020.21
ALFONSO MUÑOZ CUENCA,rentas,626.67
ALMUDENA OTAOLA URQUIJO,rentas,65932.30
AMAYA LANDÍN DÍAZ DE CORCUERA,rentas,7795.19
AMAYA LANDÍN DÍAZ DE CORCUERA,rentas,707.10
AMAYA LANDÍN DÍAZ DE CORCUERA,rentas,4427.27
ANA BELÉN EDO GIL,rentas,20379.50
ANA BELÉN EDO GIL,rentas,294.00
ANA BELÉN EDO GIL,rentas,3.95
ANA BELÉN EDO GIL,rentas,4000.00
ANA CAMINS MARTÍNEZ,rentas,61653.06
ANA CAMINS MARTÍNEZ,rentas,11100.00
ANA ISABEL ALÓS LÓPEZ,rentas,21174.23
ANA ISABEL ALÓS LÓPEZ,rentas,0.30
ANA ISABEL ALÓS LÓPEZ,rentas,3780.00
ANA ISABEL VILLAR LECHÓN,rentas,0.24
ANA MARÍA AGUDÍEZ CALVO,rentas,315.45
ANA MARTÍNEZ ZARAGOZA,rentas,27270.18
ANTONIO ALARCÓ HERNÁNDEZ,rentas,22698.00
ANTONIO ALARCÓ HERNÁNDEZ,rentas,8964.69
ANTONIO ALARCÓ HERNÁNDEZ,rentas,540.00
ANTONIO ALARCÓ HERNÁNDEZ,rentas,769.50
ANTONIO ALARCÓ HERNÁNDEZ,rentas,13500.00
ANTONIO ARMANDO FERRER SAIS,rentas,31861.32
ANTONIO ARMANDO FERRER SAIS,rentas,5.47
ANTONIO ARMANDO FERRER SAIS,rentas,23.07
ANTONIO ARMANDO FERRER SAIS,rentas,847.77
ANTONIO JOSÉ COSCULLUELA BERGUA,rentas,44627.10
ANTONIO MAGDALENO ALEGRÍA,rentas,44356.93
ANTONIO MAGDALENO ALEGRÍA,rentas,3312.51
ANTONIO MARTÍNEZ RODRÍGUEZ,rentas,54009.80
ANTONIO ROMÁN JASANADA,rentas,49832.83
ANTONIO ROMÁN JASANADA,rentas,328.74
ANTONIO ROMÁN JASANADA,rentas,44.10
ANTONIO ROMÁN JASANADA,rentas,225.97
ANTONIO ROMÁN JASANADA,rentas,19047.26
ANTONIO SERRANO AGUILAR,rentas,3138.24
ANTONIO SERRANO AGUILAR,rentas,190.17
ANTONIO SILVÁN RODRÍGUEZ,rentas,79279.87
ANTONIO SILVÁN RODRÍGUEZ,rentas,66.57
ANTONIO VÁZQUEZ LORENZO,rentas,33762.03
ARTEMI VICENT RALLO LOMBARTE,rentas,3025.35
ARTEMI VICENT RALLO LOMBARTE,rentas,310.36
ARTEMI VICENT RALLO LOMBARTE,rentas,2232.41
ASIER ANTONA GÓMEZ,rentas,65221.43
ASIER ANTONA GÓMEZ,rentas,2550.00
ASIER ANTONA GÓMEZ,rentas,6000.00
BALDOMERO ESPINOSA MORENO,rentas,34680.14
BALDOMERO ESPINOSA MORENO,rentas,444.17
BALDOMERO ESPINOSA MORENO,rentas,156.80
BEATRIZ MARTÍN LARRED,rentas,20395.74
BEATRIZ MARTÍN LARRED,rentas,0.36
BORJA PÉREZ SICILIA,rentas,34104.96
BORJA PÉREZ SICILIA,rentas,5.36
CÁNDIDA VERDIER MAYORAL,rentas,49735.56
CARLES MULET GARCÍA,rentas,36.40
CARLOS JAVIER FLORIANO CORRALES,rentas,4721.41
CARLOS JAVIER FLORIANO CORRALES,rentas,15911.64
CARLOS JAVIER FLORIANO CORRALES,rentas,22.77
CARLOS YÉCORA ROCA,rentas,62646.95
CARLOTA SANTIAGO CAMACHO,rentas,25046.16
CARMEN TORRALBA VALIENTE,rentas,43199.54
CARMEN TORRALBA VALIENTE,rentas,15896.76
CARMEN TORRALBA VALIENTE,rentas,750.17
CARMEN TORRALBA VALIENTE,rentas,162.34
CAROLINA AGUDO ALONSO,rentas,37932.76
CAROLINA AGUDO ALONSO,rentas,14180.30
CAROLINA AGUDO ALONSO,rentas,17.20
CÉSAR ALEJANDRO MOGO ZARO,rentas,78306.78
CÉSAR ALEJANDRO MOGO ZARO,rentas,341.50
CÉSAR ALEJANDRO MOGO ZARO,rentas,23.68
CLEMENTE SÁNCHEZ-GARNICA GÓMEZ,rentas,1074.70
CLEMENTE SÁNCHEZ-GARNICA GÓMEZ,rentas,214917.35
COSME BONET BONET,rentas,55970.96
COSME BONET BONET,rentas,20.78
DAVID ERGUIDO CANO,rentas,80709.00
